The topics described by their top-weighted terms:
Topic 1: tower, visit, , must, day, great, views, beautiful
Topic 2: visit, tower, views, must, it's, amazing, day, beautiful
Topic 3: visit, tower, views, tickets, day, great, , must
Topic 4: visit, tower, must, it's, day, amazing, great, views
Topic 5: visit, tower, it's, must, amazing, day, views, great
Topic 6: visit, tower, must, it's, amazing, views, tickets, great
Topic 7: tower, visit, must, amazing, it's, day, views, beautiful
Topic 8: visit, tower, it's, must, views, great, day, amazing
Topic 9: visit, tower, amazing, must, it's, great, , views
Topic 10: tower, visit, must, views, amazing, it's, day, great
Topic 11: visit, tower, must, amazing, views, it's, tickets, great
Topic 12: visit, tower, amazing, must, day, it's, views,
Topic 13: visit, tower, amazing, it's, must, great, views, day
Topic 14: visit, tower, must, amazing, tickets, day, great, views
Topic 15: tower, visit, , must, it's, day, amazing, views
Topic 16: tower, visit, it's, must, day, views, amazing, great
Topic 17: visit, , must, tower, views, amazing, it's, great
Topic 18: visit, tower, it's, must, amazing, great, day, views
Topic 19: visit, tower, must, views, amazing, it's, day, great
Topic 20: visit, tower, amazing, great, beautiful, it's, must, day
Topic 21: visit, tower, it's, must, amazing, day, tickets, views
Topic 22: tower, visit, must, , it's, amazing, day, views
Topic 23: tower, visit, must, amazing, tickets, it's, day, views
Topic 24: visit, tower, must, great, it's, day, amazing, views
Topic 25: tower, visit, must, amazing, day, tickets, views, great
Topic 26: visit, tower, must, amazing, views, it's, tickets, day
Topic 27: visit, tower, amazing, views, must, it's, great, beautiful
Topic 28: tower, visit, must, amazing, , it's, day, views
Topic 29: visit, tower, must, it's, amazing, views, tickets, great
Topic 30: tower, visit, , must, views, amazing, day, it's
Elapsed time: 8900283110ns
